6	20	85.8	71.75	79.6	72.25	13.706000000000003	3.9125	10.834000000000001	2.42875	93.3	110.9	0.524	12.7	25.1	0.194	0.496	12.6	78.5	0.205	93.4	104.6	0.483	12.6	23.7	0.205	0.487	10.5	75.8	0.204	10	10	0	0	0	0	0	1	
25	29	80.4	71.375	79.4	73.875	11.518000000000002	4.915	9.546	4.858750000000001	96.0	108.8	0.511	13.2	25.9	0.202	0.503	12.1	76.2	0.225	91.0	105.9	0.501	14.2	25.9	0.213	0.495	13.5	77.7	0.21	10	10	0	0	0	0	0	1	
10	27	88.0	74.0	82.6	72.375	18.002000000000002	4.29	13.069999999999999	4.035	99.3	114.5	0.563	13.5	23.5	0.191	0.479	12.6	76.0	0.208	93.8	110.3	0.526	12.4	23.0	0.197	0.477	14.1	79.1	0.182	10	10	0	0	0	0	0	2	
12	7	81.4	73.375	77.6	73.5	12.588000000000003	5.57875	10.437999999999999	4.067500000000001	96.6	104.6	0.497	13.5	23.4	0.205	0.489	14.3	76.0	0.205	94.3	106.7	0.502	12.0	20.6	0.211	0.504	12.8	76.2	0.198	10	10	0	0	0	0	0	1	
22	16	78.4	70.375	79.4	74.125	11.374	4.365	9.09	4.38875	96.0	105.1	0.5	12.8	23.1	0.175	0.513	13.8	76.5	0.215	93.6	106.1	0.508	13.3	23.8	0.21	0.485	12.1	77.8	0.196	10	10	0	0	0	0	0	2	
2	3	81.6	71.0	77.8	71.875	12.694	2.25125	9.308	3.1025	98.5	106.8	0.488	12.1	25.1	0.208	0.487	14.6	74.6	0.231	95.2	103.2	0.492	13.6	24.1	0.186	0.534	13.1	75.7	0.176	10	10	0	0	0	0	0	1	
28	9	81.4	72.125	79.0	71.875	11.268	3.3937500000000003	11.862	3.9187499999999997	92.9	110.0	0.504	12.3	24.6	0.255	0.498	12.7	77.7	0.201	95.1	106.1	0.491	12.2	27.0	0.197	0.504	12.5	79.3	0.196	10	10	0	0	0	0	0	1	
19	8	76.6	73.375	78.8	72.5	6.831999999999999	5.545	10.526000000000002	2.6787499999999995	96.8	105.6	0.498	12.3	21.2	0.201	0.523	12.7	78.8	0.225	95.7	105.6	0.489	13.2	25.8	0.216	0.515	12.6	77.3	0.216	10	10	0	0	0	0	0	2	
17	4	77.0	74.0	77.8	71.75	9.422	4.921250000000001	11.66	5.0600000000000005	94.2	104.3	0.499	14.2	24.9	0.207	0.51	14.2	73.1	0.221	95.7	107.1	0.502	11.7	20.0	0.222	0.496	12.5	79.8	0.191	10	10	0	0	0	0	0	2	
15	18	79.2	73.125	81.8	72.25	8.086	4.2837499999999995	12.812000000000001	4.598750000000001	93.3	105.4	0.477	12.3	25.3	0.231	0.518	15.2	75.1	0.251	95.2	106.5	0.498	13.9	24.3	0.263	0.524	13.6	74.7	0.2	10	10	0	0	0	0	0	1	
23	21	77.4	73.85714285714286	79.8	72.375	3.252000000000001	6.595714285714287	9.876000000000001	4.449999999999999	97.9	98.8	0.487	14.8	20.6	0.186	0.51	13.5	74.0	0.24	96.7	113.1	0.524	14.0	31.1	0.228	0.484	11.7	76.0	0.205	10	10	0	0	0	0	0	2	
24	26	78.8	73.75	78.2	72.375	10.004000000000001	4.71875	10.95	6.6499999999999995	98.5	102.2	0.487	15.2	25.4	0.204	0.523	13.5	77.1	0.237	100.0	106.0	0.51	14.2	23.9	0.214	0.521	14.0	74.9	0.202	10	10	0	0	0	0	0	2	
14	11	76.4	74.5	81.4	70.75	6.175999999999999	5.611249999999999	13.001999999999999	2.9025	95.6	101.6	0.46	12.5	23.1	0.228	0.523	11.6	74.7	0.202	97.6	108.3	0.516	14.2	25.7	0.244	0.516	14.7	72.8	0.219	10	10	0	0	0	0	0	1	
1	30	79.0	72.125	82.6	69.875	11.172	2.8325	12.342000000000002	3.4037500000000005	97.1	105.1	0.516	13.8	19.1	0.185	0.48	14.4	74.6	0.194	98.5	105.3	0.511	13.1	20.6	0.192	0.515	14.6	77.7	0.218	10	10	0	0	0	0	0	1	
5	2	80.2	71.375	81.6	71.0	13.286000000000001	5.484999999999999	15.859999999999996	5.35	95.7	105.0	0.487	12.6	24.5	0.189	0.485	10.7	74.9	0.182	103.0	118.4	0.601	16.4	29.3	0.169	0.521	13.1	30.0	0.165	10	1	0	1.0	0	1.0	0	1	
