19	22	82.2	70.75	78.2	72.125	12.482000000000001	5.970000000000001	6.08	3.0312499999999996	92.2	107.2	0.495	12.9	26.9	0.22	0.515	13.6	73.8	0.249	93.6	101.7	0.487	13.9	22.4	0.193	0.504	13.0	75.5	0.211	10	10	0	0	0	0	0	1	
27	7	80.4	73.28571428571429	82.0	72.0	9.338000000000001	4.568571428571429	13.348000000000003	5.4925	95.0	110.5	0.537	13.5	22.7	0.188	0.482	12.8	76.4	0.184	93.5	111.2	0.526	12.7	24.6	0.201	0.515	14.8	72.7	0.229	10	10	0	0	0	0	0	1	
14	11	77.8	72.125	83.6	71.75	9.346	3.79	14.168000000000001	2.5987500000000003	98.7	104.2	0.505	13.7	20.2	0.199	0.513	12.4	71.0	0.192	96.3	111.0	0.531	14.6	27.4	0.275	0.489	12.5	74.1	0.193	10	10	0	0	0	0	0	2	
4	17	79.2	72.375	78.4	76.0	11.582	4.981249999999999	7.0680000000000005	7.9350000000000005	92.4	103.6	0.481	11.7	21.9	0.219	0.491	12.6	77.6	0.183	91.8	103.0	0.479	14.1	27.1	0.204	0.52	13.2	71.4	0.225	10	10	0	0	0	0	0	1	
12	23	76.0	73.5	72.6	71.42857142857143	5.118	4.817500000000001	5.272	3.354285714285715	92.5	104.1	0.49	14.3	24.9	0.226	0.46	12.9	76.8	0.197	99.2	99.4	0.475	14.8	24.8	0.19	0.524	14.9	72.4	0.244	10	10	0	0	0	0	0	1	
28	1	82.0	73.625	84.0	72.375	12.166	5.250000000000001	13.303999999999998	5.23625	91.8	108.8	0.498	13.2	27.2	0.239	0.493	14.1	74.9	0.237	94.6	105.9	0.515	14.3	21.0	0.208	0.51	14.0	74.4	0.196	10	10	0	0	0	0	0	1	
16	30	80.4	72.125	78.6	73.5	10.314	3.8049999999999997	9.926	5.081249999999999	91.2	110.9	0.554	14.6	20.6	0.228	0.511	15.8	73.0	0.212	93.2	106.0	0.506	13.6	25.2	0.181	0.504	15.0	75.7	0.22	10	10	0	0	0	0	0	1	
2	3	78.6	73.375	77.6	70.75	10.193999999999999	5.0625	7.624000000000002	3.66875	93.3	102.9	0.477	14.2	27.4	0.193	0.505	13.4	74.2	0.227	91.4	106.7	0.514	14.1	21.7	0.236	0.509	14.9	72.3	0.236	10	10	0	0	0	0	0	1	
15	18	84.0	73.0	78.0	72.375	11.457999999999998	4.335	10.110000000000001	3.2312500000000006	89.9	106.3	0.494	13.1	28.3	0.184	0.497	13.8	75.7	0.199	97.3	108.9	0.486	12.2	27.4	0.249	0.518	14.8	74.4	0.177	10	10	0	0	0	0	0	1	
20	5	78.2	72.125	81.0	73.625	7.3199999999999985	4.64	11.052000000000001	2.8100000000000005	90.3	108.3	0.505	12.5	25.1	0.189	0.514	14.0	74.3	0.245	90.2	102.5	0.471	14.2	27.2	0.226	0.471	13.7	75.4	0.189	10	10	0	0	0	0	0	2	
