83.8	75.0	85.8	72.85714285714286	15.654000000000002	5.9025	11.022	2.7914285714285714	96.2	113.6	0.547	12.6	21.9	0.206	0.516	11.4	75.8	0.174	96.8	111.2	0.525	12.2	21.2	0.22	0.503	12.6	75.3	0.223	10	10	0	0	0	102.0	99.0	
88.8	74.375	85.4	73.375	16.114	4.585	15.630000000000004	5.27375	99.8	115.6	0.563	13.2	22.8	0.204	0.486	13.5	74.9	0.198	100.0	114.7	0.545	13.3	24.6	0.233	0.519	13.2	75.8	0.194	10	10	0	0	0	121.0	122.0	
81.2	73.5	78.8	72.625	10.566	4.282500000000001	10.068	4.63375	95.0	106.0	0.492	10.9	24.1	0.157	0.516	12.1	81.2	0.197	95.7	108.8	0.501	10.7	19.9	0.227	0.523	12.1	79.6	0.164	10	10	0	0	0	102.0	90.0	
80.8	73.125	78.2	73.375	11.168000000000001	3.20375	6.924000000000001	6.48875	95.9	108.6	0.516	12.8	21.2	0.212	0.512	13.6	75.5	0.225	101.3	104.1	0.507	14.7	19.6	0.228	0.513	11.6	76.1	0.212	10	10	0	0	0	140.0	131.0	
79.2	73.75	79.4	73.125	11.203999999999999	4.99625	12.017999999999999	5.19625	96.8	103.7	0.489	12.1	21.6	0.184	0.523	11.9	77.4	0.201	95.2	107.8	0.512	12.4	24.2	0.177	0.496	12.6	76.4	0.22	10	10	0	0	0	116.0	109.0	
81.0	72.625	80.2	74.5	13.492	4.0825	8.716	6.484999999999999	97.4	111.2	0.528	12.8	24.1	0.199	0.524	13.8	75.5	0.213	98.5	103.2	0.501	14.9	22.4	0.199	0.512	13.5	75.3	0.234	10	10	0	0	0	120.0	115.0	
84.2	70.875	80.8	72.875	13.940000000000001	2.0500000000000007	10.698	4.47875	99.3	99.7	0.455	9.2	18.0	0.216	0.488	15.3	19.6	0.253	94.5	109.1	0.527	13.2	21.5	0.21	0.518	13.6	75.4	0.215	1	10	0.0	0	0	100.0	108.0	
78.0	73.875	82.0	70.71428571428571	10.804000000000002	3.0225	13.104	4.097142857142858	92.3	107.7	0.491	12.1	24.8	0.219	0.506	13.6	77.5	0.256	98.0	105.2	0.504	11.7	18.5	0.192	0.509	12.4	76.8	0.177	10	10	0	0	0	103.0	91.0	
77.0	74.125	77.8	72.125	8.494	5.3687499999999995	8.552	2.7225	92.2	105.6	0.505	11.6	18.1	0.18	0.529	14.4	77.6	0.218	97.4	104.9	0.504	14.2	23.6	0.215	0.507	13.8	76.1	0.179	10	10	0	0	0	111.0	117.0	
80.8	75.25	81.8	75.0	9.142	3.9187499999999993	12.818000000000001	7.20125	91.6	109.6	0.526	13.2	23.2	0.215	0.493	11.8	78.9	0.195	98.3	113.2	0.53	13.2	27.3	0.214	0.532	10.9	78.7	0.194	10	10	0	0	0	106.0	96.0	
79.0	74.0	82.8	73.125	7.828	4.87125	16.552	5.6475	94.2	111.1	0.524	12.6	24.0	0.21	0.492	13.5	77.6	0.192	94.6	110.8	0.511	12.9	27.2	0.229	0.535	13.2	75.9	0.212	10	10	0	0	0	107.0	99.0	
80.0	72.42857142857143	77.4	73.875	10.648000000000001	3.66	10.988	4.1775	100.3	106.6	0.493	13.4	26.0	0.231	0.525	13.1	76.4	0.264	96.7	110.3	0.52	12.5	23.0	0.214	0.508	11.6	76.8	0.241	10	10	0	0	0	76.0	124.0	
75.4	72.0	83.6	74.5	7.227999999999999	3.593749999999999	13.98	4.699999999999999	94.9	107.3	0.516	13.7	21.0	0.22	0.528	12.9	76.3	0.227	102.0	119.6	0.562	10.2	22.2	0.134	0.638	16.0	15.4	0.238	10	1	0	1.0	0	100.0	105.0	
81.6	72.875	74.4	72.0	13.842000000000004	3.8350000000000004	4.942	3.0025000000000004	94.7	112.3	0.517	11.8	25.0	0.233	0.507	13.5	76.3	0.223	95.3	107.4	0.487	12.3	27.0	0.206	0.507	12.4	76.8	0.169	10	10	0	0	0	117.0	100.0	
84.0	72.0	79.8	73.5	15.542000000000002	4.02625	10.18	3.7862499999999994	97.8	108.3	0.5	13.2	27.9	0.22	0.511	12.5	79.0	0.218	96.0	107.7	0.496	12.4	26.6	0.188	0.511	11.7	74.1	0.214	10	10	0	0	0	105.0	84.0	
77.0	74.375	80.4	74.5	7.4220000000000015	5.6175	11.794	5.711250000000001	98.5	106.0	0.501	13.5	25.0	0.195	0.542	13.0	75.8	0.213	96.1	112.7	0.537	12.0	21.5	0.233	0.506	12.1	76.9	0.211	10	10	0	0	0	92.0	108.0	
78.8	72.625	77.8	72.0	9.54	1.9999999999999996	10.379999999999999	6.26	98.5	91.4	0.459	16.5	7.3	0.315	0.474	7.3	17.0	0.115	98.6	118.7	0.559	11.4	30.4	0.128	0.541	13.6	20.0	0.209	2	2	0.0	1.0	0	109.0	91.0	
80.2	71.875	79.8	72.375	17.259999999999998	3.76875	9.32	8.125	113.3	123.6	0.564	10.8	30.4	0.245	0.543	15.6	25.0	0.309	98.7	125.6	0.567	13.5	39.5	0.244	0.354	14.2	19.2	0.146	2	2	1.0	1.0	0	96.0	114.0	
80.8	72.875	83.8	75.0	12.46	3.5875	12.16	2.175	97.9	110.4	0.546	14.4	15.8	0.329	0.489	10.7	22.0	0.121	99.3	102.7	0.488	15.3	19.6	0.253	0.455	9.2	18.0	0.216	2	3	1.0	1.0	0	97.0	116.0	
80.2	74.5	83.2	70.28571428571429	15.02	2.4375	11.51	2.6071428571428577	104.3	110.3	0.543	14.4	23.4	0.151	0.464	7.3	30.2	0.309	98.6	100.95	0.472	9.95	20.0	0.16849999999999998	0.517	14.850000000000001	17.700000000000003	0.29100000000000004	2	2	0.0	0.0	0	92.0	102.0	
82.2	71.5	81.2	73.57142857142857	17.32	2.725	12.7	5.157142857142857	104.3	115.1	0.464	7.3	30.2	0.309	0.543	14.4	23.4	0.151	98.5	103.6	0.474	7.3	17.0	0.115	0.459	16.5	7.3	0.315	2	2	1.0	1.0	0	115.0	111.0	
77.2	73.75	77.8	72.875	11.799999999999999	4.50625	14.580000000000002	2.1875	113.3	115.7	0.543	15.6	25.0	0.309	0.564	10.8	30.4	0.245	105.2	110.3	0.522	12.0	25.0	0.244	0.475	10.7	22.0	0.129	2	2	0.0	1.0	0	126.0	121.0	
82.8	73.125	80.4	75.625	11.760000000000002	2.8749999999999996	11.360000000000001	5.146249999999999	94.5	104.8	0.482	12.0	22.4	0.2	0.506	10.2	27.9	0.191	94.5	112.2	0.562	14.6	16.2	0.185	0.552	19.6	18.9	0.143	2	2	0.0	1.0	0	100.0	97.0	
77.6	72.625	76.8	72.25	11.940000000000001	2.175	11.652	3.4000000000000004	98.6	112.6	0.541	13.6	20.0	0.209	0.559	11.4	30.4	0.128	96.3	103.9	0.523	15.5	22.0	0.091	0.47	12.8	26.7	0.325	2	2	0.0	0.0	0	88.0	93.0	
82.0	70.71428571428571	88.8	74.5	13.12	1.0999999999999999	13.540000000000001	6.90375	93.3	97.6	0.424	15.6	34.8	0.304	0.473	9.5	30.0	0.174	102.0	118.6	0.638	16.0	15.4	0.238	0.562	10.2	22.2	0.134	2	3	0.0	0.0	0	120.0	128.0	
80.0	73.25	76.4	74.375	5.24	3.02375	7.119999999999999	3.9	98.7	77.0	0.354	14.2	19.2	0.146	0.567	13.5	39.5	0.244	105.9	86.9	0.429	15.8	22.2	0.154	0.449	11.0	29.8	0.112	2	1	0.0	0.0	0	130.0	132.0	
81.6	72.75	77.6	73.625	12.580000000000002	5.78375	10.91	2.33875	99.9	117.2	0.548	15.1	31.0	0.313	0.472	16.4	21.7	0.18	101.9	101.35	0.489	14.15	24.45	0.1405	0.47	11.75	30.0	0.2855	2	1	1.0	0.0	0	128.0	94.0	
74.4	71.0	79.0	74.0	9.860000000000001	3.2714285714285714	14.14	3.6874999999999996	99.9	100.1	0.472	16.4	21.7	0.18	0.548	15.1	31.0	0.313	94.5	113.3	0.506	10.2	27.9	0.191	0.482	12.0	22.4	0.2	2	3	0.0	1.0	0	77.0	87.0	
83.2	74.625	77.4	72.125	10.59	3.54375	14.729999999999999	1.80625	96.0	113.95	0.5495	15.700000000000001	24.3	0.23149999999999998	0.49250000000000005	11.5	18.3	0.16899999999999998	106.30000000000001	111.44999999999999	0.5645	15.35	23.2	0.195	0.512	12.55	27.3	0.2005	1	1	1.0	0.5	0	93.0	114.0	
83.6	72.125	76.2	73.42857142857143	13.970000000000002	3.286250000000001	7.339999999999999	5.4	99.15	114.35	0.516	11.5	24.45	0.2295	0.5805	15.75	18.7	0.16449999999999998	93.25	106.4	0.514	13.05	17.3	0.20450000000000002	0.521	12.25	33.0	0.11549999999999999	3	1	1.0	0.0	0	107.0	91.0	
77.2	73.375	88.8	74.5	7.68	5.675	15.100000000000003	5.025	93.3	110.4	0.473	9.5	30.0	0.174	0.424	15.6	34.8	0.304	104.65	118.94999999999999	0.6234999999999999	15.6	18.8	0.206	0.5515000000000001	11.899999999999999	25.65	0.1385	3	1	1.0	0.5	0	111.0	101.0	
76.6	72.625	80.2	71.875	7.839999999999999	2.838749999999999	12.05	3.4250000000000003	105.2	103.6	0.475	10.7	22.0	0.129	0.522	12.0	25.0	0.244	105.35	111.05	0.5189999999999999	11.15	21.7	0.26349999999999996	0.5375000000000001	11.85	25.0	0.223	3	1	0.0	0.5	0	112.0	108.0	
79.8	73.375	81.2	73.75	7.419999999999999	2.8874999999999997	12.330000000000002	3.38125	98.9	85.0	0.449	22.2	28.2	0.165	0.494	15.3	30.2	0.178	98.85	107.69999999999999	0.513	11.950000000000001	21.0	0.1435	0.516	15.75	15.3	0.351	2	1	0.0	0.5	0	107.0	111.0	
80.8	72.875	79.8	72.375	12.720000000000002	3.0337499999999995	11.35	5.975	95.30000000000001	107.55000000000001	0.538	14.100000000000001	17.200000000000003	0.2255	0.55	13.4	25.5	0.16549999999999998	98.05000000000001	121.3	0.5495	10.8	32.25	0.1905	0.414	12.85	16.1	0.21399999999999997	1	1	0.5	1.0	0	113.0	110.0	
81.8	75.0	76.8	72.25	7.9799999999999995	3.899999999999999	10.379999999999999	3.6375	94.5	101.6	0.552	19.6	18.9	0.143	0.562	14.6	16.2	0.185	92.1	104.9	0.503	14.3	28.8	0.097	0.4785	12.65	20.65	0.2625	3	1	0.0	0.5	0	96.0	79.0	
80.8	74.25	84.0	72.0	10.95	3.0375000000000005	16.259999999999998	1.3125	94.8	107.1	0.5505	16.5	16.65	0.1835	0.52	16.8	21.65	0.201	98.9	106.2	0.494	15.3	30.2	0.178	0.449	22.2	28.2	0.165	1	2	0.5	1.0	0	96.0	87.0	
80.4	74.5	80.0	73.25	12.62	3.3875	10.48	2.8687500000000004	105.9	102.0	0.449	11.0	29.8	0.112	0.429	15.8	22.2	0.154	107.95	93.95	0.45949999999999996	14.55	20.25	0.21449999999999997	0.574	13.9	25.3	0.251	2	1	1.0	0.0	0	130.0	88.0	
77.6	73.5	77.8	72.375	10.56	6.06875	10.209999999999999	4.1075	110.35	116.5	0.546	15.0	28.8	0.2905	0.5854999999999999	14.75	25.9	0.1955	102.0	102.5	0.48750000000000004	11.4	21.1	0.127	0.5175000000000001	15.55	23.65	0.244	2	2	0.5	0.5	0	116.0	104.0	
84.0	72.0	82.8	73.125	12.440000000000001	2.16875	11.190000000000001	3.25625	95.95	99.9	0.4875	15.85	24.6	0.16599999999999998	0.5005000000000001	20.0	23.549999999999997	0.154	94.8	105.0	0.485	13.0	23.4	0.2295	0.5225	14.299999999999999	22.5	0.1865	1	2	0.5	0.5	0	113.0	115.0	
77.8	74.125	82.0	70.71428571428571	10.49	4.84375	13.780000000000001	2.617142857142857	111.55000000000001	99.80000000000001	0.505	15.05	16.65	0.20600000000000002	0.507	12.95	25.55	0.19749999999999998	100.3	104.69999999999999	0.48250000000000004	14.6	31.95	0.22349999999999998	0.5409999999999999	12.35	26.1	0.174	2	2	0.5	0.0	0	112.0	119.0	
81.2	73.5	80.2	74.5	12.913333333333332	3.4312500000000004	11.403333333333332	2.5583333333333336	96.3	112.39999999999999	0.5196666666666667	11.600000000000001	25.900000000000002	0.147	0.5126666666666667	14.266666666666666	20.2	0.33699999999999997	103.76666666666667	96.7	0.4723333333333333	15.1	21.53333333333333	0.18300000000000002	0.49499999999999994	11.5	26.5	0.3063333333333333	2	2	0.6666666666666666	0.0	0	86.0	97.0	
76.6	72.625	75.4	72.125	10.8	3.1374999999999997	7.119999999999999	3.4958333333333336	102.55000000000001	107.9	0.5365	11.899999999999999	18.9	0.1105	0.503	10.35	25.0	0.2	102.86666666666667	101.5	0.45100000000000007	11.833333333333334	23.933333333333337	0.20166666666666666	0.523	15.366666666666667	25.399999999999995	0.25066666666666665	2	1	0.5	0.3333333333333333	0	104.0	93.0	
83.6	72.28571428571429	77.2	73.375	13.6	3.6190476190476195	9.760000000000002	4.98125	98.23333333333335	113.23333333333333	0.525	11.799999999999999	22.8	0.22633333333333336	0.5356666666666666	14.866666666666667	17.400000000000002	0.17299999999999996	95.85	111.6	0.5025	11.25	22.5	0.27549999999999997	0.444	15.35	30.45	0.28900000000000003	2	2	1.0	1.0	0	90.0	98.0	
80.0	72.375	78.8	71.625	12.22	2.2216666666666667	9.819999999999997	2.525	95.73333333333335	110.7	0.5483333333333333	13.766666666666667	17.933333333333334	0.242	0.5293333333333333	13.666666666666666	27.566666666666666	0.238	101.95	97.4	0.47650000000000003	17.0	17.3	0.29700000000000004	0.44499999999999995	9.35	14.4	0.1205	2	3	0.6666666666666666	0.5	0	103.0	94.0	
77.0	73.25	88.8	75.25	8.953333333333331	5.268749999999999	14.273333333333335	4.31875	94.3	102.40000000000002	0.49133333333333334	13.066666666666668	16.46666666666667	0.19966666666666666	0.5283333333333333	12.299999999999999	28.5	0.15033333333333332	102.56666666666668	113.53333333333332	0.5703333333333332	15.433333333333332	21.233333333333334	0.22866666666666666	0.545	12.266666666666666	22.099999999999998	0.218	2	2	0.0	0.3333333333333333	0	103.0	133.0	
79.0	74.0	80.2	72.125	12.52	2.96875	11.220000000000002	5.093750000000001	94.8	102.4	0.45999999999999996	10.05	26.9	0.1495	0.4545	15.05	19.9	0.14250000000000002	103.7	118.15	0.5465	13.05	25.25	0.3305	0.4555	16.7	18.7	0.224	2	2	1.0	1.0	0	101.0	97.0	
81.8	75.0	82.2	72.28571428571429	7.619999999999999	5.4625	17.319999999999997	3.114285714285714	91.85	104.65	0.523	17.1	29.45	0.142	0.487	13.55	19.65	0.1455	101.75	115.5	0.5185	11.15	26.75	0.348	0.5475000000000001	15.5	24.2	0.16149999999999998	2	3	0.5	1.0	0	104.0	109.0	
78.0	74.14285714285714	76.8	73.125	8.180000000000001	3.9247619047619047	7.473333333333332	4.1875	105.8	91.53333333333335	0.4473333333333333	15.633333333333335	16.400000000000002	0.2743333333333333	0.5873333333333334	12.799999999999999	24.8	0.25066666666666665	91.13333333333333	99.46666666666665	0.4726666666666666	13.700000000000001	26.900000000000002	0.09999999999999999	0.4836666666666667	13.299999999999999	27.099999999999998	0.222	2	2	0.0	0.3333333333333333	0	117.0	115.0	
